"","year","track_popularity","track_name","track_artist","playlist_genre","key","acousticness","duration_ms"
"37",2018,59,"Happier - Matt Medved Remix","Marshmello","pop",5,0.126,170164
"38",2018,63,"Side Effects - Fedde Le Grand Remix","The Chainsmokers","pop",0,0.0382,172360
"39",2019,67,"Good Things Fall Apart (with Jon Bellion) [Tiësto's Big Room Remix]","ILLENIUM","pop",2,0.00522,247385
"40",2019,55,"Paradise - Bazzi vs. Black Caviar Remix","Bazzi vs.","pop",11,0.00223,218015
"41",2019,56,"White Mercedes - EDX's Miami Sunset Remix","Charli XCX","pop",5,0.0141,200444
"42",2019,87,"Higher Love","Kygo","pop",8,0.0154,228267
"43",2019,62,"Unlove You","Armin van Buuren","pop",3,0.0303,150160
"44",2019,83,"bad guy (with Justin Bieber)","Billie Eilish","pop",0,0.252,194840
"45",2019,55,"Freaking Me Out - Keanu Silva Remix","Ava Max","pop",1,0.132,177466
"46",2019,61,"Heaven Can Wait - The Aston Shuffle Remix","Sia","pop",5,0.000609,218373
"47",2019,56,"When It Comes To You - Benny Benassi & BB Team Remix","Sean Paul","pop",10,0.0538,144073
"48",2019,57,"Gone - The Wild Remix","Charli XCX","pop",6,0.0588,193861
"49",2019,56,"American Boy - Brooks Remix","Estelle","pop",5,0.0994,200625
"50",2019,53,"Million Pieces - M-22 Remix","Bastille","pop",4,0.0832,166237
"51",2019,56,"joy. (R3HAB Remix)","for KING & COUNTRY","pop",0,0.0917,171500
"52",2019,34,"Crash Into Me - Settle Down Steavis Aoki Remix","Steve Aoki","pop",1,0.000609,266719
"53",2019,74,"Old Town Road - Diplo Remix","Lil Nas X","pop",6,0.00407,204027
"54",2019,46,"Lovers + Strangers - GATTÜSO Remix","Starley","pop",10,0.017,203968
"55",2018,63,"Promises (with Sam Smith) - David Guetta Remix","Calvin Harris","pop",3,0.186,190417
"56",2019,55,"Flames (with ZAYN) - R3HAB & Skytech VIP Remix","R3HAB","pop",5,0.0148,237686
"57",2019,52,"What Am I - SONDR Remix","Why Don't We","pop",0,0.0336,180361
"58",2019,67,"Cool Kids","Olympis","pop",8,0.415,139048
"59",2019,63,"Loco Contigo (with J. Balvin & Tyga) - Cedric Gervais Remix","DJ Snake","pop",6,0.00486,279800
"60",2019,60,"All Star - Breathe Carolina Remix","Smash Mouth","pop",3,0.0324,217043
"61",2019,45,"Trampoline - Dave Audé Remix","SHAED","pop",7,0.0163,230476
"62",2019,58,"Stay (Don't Go Away) [feat. Raye] - Mark Knight Remix","David Guetta","pop",9,0.0921,188640
"63",2019,51,"With You - Dexter Remix","Kaskade","pop",1,0.119,196613
"64",2019,58,"Safety (feat. DJ Snake) - Dark Heart 2am Mix","GASHI","pop",5,0.0204,210000
"65",2018,56,"Beautiful (feat. Camila Cabello) - Bazzi vs. EDX's Ibiza Sunrise Remix","Bazzi vs.","pop",2,0.0611,187869
"66",2019,60,"Talk - Disclosure VIP","Khalid","pop",4,0.0158,273229
"67",2019,48,"Spicy - Majestic Remix","Herve Pagez","pop",11,0.001,255861
"68",2019,56,"Don't Leave Me Lonely (feat. Yebba) - Claptone Remix","Mark Ronson","pop",8,0.0357,216714
"69",2019,56,"Treehouse - R3HAB Remix","James Arthur","pop",6,0.00515,192653
"70",2018,65,"Hearts Ain't Gonna Lie - Eden Prince Remix","Arlissa","pop",6,0.201,238451
"71",2019,39,"Call You Mine","The Chainsmokers","pop",7,0.225,217653
"72",2019,83,"Post Malone (feat. RANI)","Sam Feldt","pop",7,0.0771,174444
"73",2019,83,"Here With Me","Marshmello","pop",5,0.0623,156347
"74",2019,71,"Easier - Seeb Remix","5 Seconds of Summer","pop",5,0.0728,165767
"75",2019,81,"Sixteen","Ellie Goulding","pop",8,0.268,201072
"76",2019,85,"Never Really Over","Katy Perry","pop",8,0.194,223523
"77",2019,76,"All You Need To Know (feat. Calle Lehmann)","Gryffin","pop",0,0.00968,238459
"78",2019,71,"I Miss Myself (with HRVY)","NOTD","pop",0,0.0856,191612
"79",2019,65,"South of the Border (feat. Camila Cabello & Cardi B) - Sam Feldt Remix","Ed Sheeran","pop",5,0.22,173455
"80",2019,67,"Takeaway (feat. Lennon Stella)","The Chainsmokers","pop",3,0.12,209893
"81",2019,74,"All the Time","Zara Larsson","pop",6,0.18,228112
"82",2019,81,"What I Like About You (feat. Theresa Rex)","Jonas Blue","pop",1,0.289,220396
"83",2019,71,"With You","Kaskade","pop",1,0.123,180840
"84",2019,75,"Body Back (feat. Maia Wright)","Gryffin","pop",8,0.0948,214634
"85",2019,73,"Not Ok","Kygo","pop",11,0.0292,210944
"86",2018,79,"Ruin My Life","Zara Larsson","pop",11,0.423,190932
"87",2018,74,"I Wanna Know (feat. Bea Miller)","NOTD","pop",6,0.0253,197939
"88",2019,63,"Better With You","3LAU","pop",3,0.0196,192941
"89",2019,79,"Carry On (from the Original Motion Picture ""POKÉMON Detective Pikachu"")","Kygo","pop",9,0.381,215316
"90",2018,16,"Polaroid","Jonas Blue","pop",7,0.29,193377
"91",2018,75,"Lost In Japan - Remix","Shawn Mendes","pop",10,0.0911,201253
"92",2019,75,"In Your Arms (with X Ambassadors)","ILLENIUM","pop",2,0.198,220730
"93",2019,55,"I'm Not Alright","Loud Luxury","pop",4,0.0812,185062
"94",2019,30,"SOS","Avicii","pop",5,0.272,157202
"95",2019,62,"Harder","Jax Jones","pop",5,0.0909,159753
"96",2018,84,"The Middle","Zedd","pop",7,0.171,184732
"97",2019,70,"Wanted","NOTD","pop",5,0.185,160998
"98",2019,37,"Crash Into Me","Steve Aoki","pop",1,0.00246,226093
"99",2019,70,"Need Your Love (with Noah Kahan)","Gryffin","pop",0,0.16,205787
"100",2019,74,"Good Things Fall Apart (with Jon Bellion)","ILLENIUM","pop",2,0.0128,216668
"101",2019,85,"Don't Call Me Up","Mabel","pop",9,0.296,178480
"102",2019,36,"Nostalgic","A R I Z O N A","pop",0,0.246,182668
"103",2019,52,"Let It Be Me","Steve Aoki","pop",7,0.0797,224061
"104",2019,58,"Lovers + Strangers","Starley","pop",1,0.109,178501
"105",2019,72,"Sad Song (feat. TINI)","Alesso","pop",0,0.0878,154024
"106",2018,64,"Sleepless Nights","ayokay","pop",11,0.0563,197880
"107",2019,63,"Save Me Tonight","ARTY","pop",5,0.0113,170079
"108",2017,77,"Pretty Girl - Cheat Codes X CADE Remix","Maggie Lindemann","pop",7,0.15,193613
"109",2019,76,"No Sleep (feat. Bonn)","Martin Garrix","pop",11,0.129,207095
"110",2017,74,"Feel Good (feat. Daya)","Gryffin","pop",2,0.22,248156
"111",2019,56,"Endless Summer","Cashae","pop",4,0.048,202072
"112",2019,77,"Faith (with Dolly Parton) [feat. Mr. Probz]","Galantis","pop",8,0.145,186805
"113",2019,71,"Think About You","Kygo","pop",10,0.166,208567
"114",2019,64,"Party For One","Carly Rae Jepsen","pop",6,0.0453,184533
"115",2019,82,"Ritual","Tiësto","pop",3,0.157,198996
"116",2018,81,"Electricity (with Dua Lipa)","Silk City","pop",0,0.0104,238173
"117",2018,41,"Lie","Shallou","pop",2,0.295,215446
"118",2018,62,"I Found You (with Calvin Harris)","benny blanco","pop",6,0.0264,189165
"119",2019,5,"Now That I Found You","Carly Rae Jepsen","pop",0,0.0145,200318
"120",2019,72,"All Comes Back To You","R3HAB","pop",4,0.524,160312
"121",2019,24,"Need U","DVBBS","pop",10,0.292,219521
"122",2017,58,"First Love","Lost Kings","pop",5,0.0257,207428
"123",2019,65,"Something Real","Armin van Buuren","pop",1,0.0446,179531
"124",2019,64,"TIME","Alesso","pop",5,0.00627,166000
"125",2019,53,"Something About You (with Rudimental)","Elderbrook","pop",6,0.559,203200
"126",2019,72,"Home (feat. Bonn)","Martin Garrix","pop",8,0.0655,239067
"127",2019,39,"Simple (STVW Remix)","FANNYPACK","pop",9,0.301,147554
"128",2019,75,"Sorry","Joel Corry","pop",8,0.0547,188640
"129",2019,60,"Spicy (with Diplo & Charli XCX)","Herve Pagez","pop",8,0.0527,157159
"130",2019,18,"The Upside (feat. Elle King)","Lindsey Stirling","pop",2,0.00123,228502
"131",2017,79,"Stay","Zedd","pop",5,0.253,210091
"132",2019,60,"Million Voices","Armin van Buuren","pop",3,0.0142,187150
"133",2018,83,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)","DJ Snake","pop",8,0.157,212500
"134",2016,85,"Closer (feat. Halsey)","The Chainsmokers","pop",8,0.414,244960
"135",2014,47,"Say My Name (feat. Zyra) - RAC Mix","ODESZA","pop",9,0.025,243091
"136",2012,74,"Clarity","Zedd","pop",8,0.0398,271427
"137",2018,80,"Solo (feat. Demi Lovato)","Clean Bandit","pop",11,0.0441,222653
"138",2017,81,"Scared to Be Lonely","Martin Garrix","pop",1,0.0895,220883
"139",2017,76,"Friends (with BloodPop®)","Justin Bieber","pop",8,0.00402,189467
"140",2019,96,"RITMO (Bad Boys For Life)","The Black Eyed Peas","pop",10,0.0334,221714
"141",2018,84,"Promises (with Sam Smith)","Calvin Harris","pop",11,0.0119,213309
"142",2019,86,"Turn Me On (feat. Vula)","Riton","pop",11,0.0149,208474
"143",2017,68,"Light","San Holo","pop",1,0.0857,239853
"144",2017,66,"2U","David Guetta","pop",8,0.225,194907
"145",2017,83,"Something Just Like This","The Chainsmokers","pop",11,0.0498,247160
"146",2018,85,"One Kiss (with Dua Lipa)","Calvin Harris","pop",9,0.037,214847
"147",2015,73,"Heroes (we could be)","Alesso","pop",5,0.0305,210013
"148",2017,69,"It Ain’t Me (with Selena Gomez)","Kygo","pop",0,0.119,220781
"149",2012,69,"Let Me Love You (Until You Learn To Love Yourself)","Ne-Yo","pop",5,0.248,251627
"150",2016,81,"Let Me Love You","DJ Snake","pop",8,0.0863,205947
"151",2015,73,"Roses","The Chainsmokers","pop",4,0.0435,226739
"152",NA,61,"Stay The Night - Featuring Hayley Williams Of Paramore","Zedd","pop",8,0.109,217347
"153",2013,19,"Latch","Disclosure","pop",1,0.0159,255632
"154",2018,57,"Flames","David Guetta","pop",5,0.0723,195000
"155",2015,81,"Sorry","Justin Bieber","pop",0,0.0797,200787
"156",2016,79,"This Is What You Came For","Calvin Harris","pop",9,0.199,222160
"157",2013,84,"Wake Me Up","Avicii","pop",2,0.0038,247427
"158",2018,84,"In My Mind","Dynoro","pop",6,0.176,184560
"159",2011,66,"Titanium (feat. Sia)","David Guetta","pop",0,0.0679,245040
"160",2015,8,"Where Are Ü Now","Skrillex","pop",7,0.0342,242520
"161",2010,64,"Firework","Katy Perry","pop",8,0.141,227893
"162",2017,61,"Mi Gente (feat. Beyoncé)","J Balvin","pop",11,0.0223,209733
"163",2012,27,"Don't You Worry Child - Radio Edit","Swedish House Mafia","pop",11,0.11,213169
"164",2016,74,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")","Justin Timberlake","pop",0,0.0106,237547
"165",2012,57,"Anything Could Happen","Ellie Goulding","pop",0,0.433,286322
"166",2008,69,"Poker Face","Lady Gaga","pop",4,0.12,237200
"167",2015,77,"How Deep Is Your Love","Calvin Harris","pop",11,0.0389,212640
"168",2020,74,"In Your Eyes (feat. Alida)","Robin Schulz","pop",8,0.177,208222
"169",2019,5,"Wish You Well (with Sigala)","Sigala","pop",5,0.122,206440
"170",2019,57,"With You - LöKii Remix","Kaskade","pop",9,0.0201,231480
"171",2019,68,"Dive","Hot Shade","pop",4,0.00515,164490
"172",2019,65,"No Goodbye","Paul Kalkbrenner","pop",6,0.0955,168547
"173",2019,58,"Work","MOTi","pop",0,0.0395,155238
"174",2019,81,"Instagram","Dimitri Vegas & Like Mike","pop",8,0.125,184558
"175",2020,68,"Better Off Without You (feat. Shift K3Y)","Becky Hill","pop",7,0.0566,198743
"176",2019,43,"Butterfly","Molella","pop",7,0.0922,159194
"177",2019,57,"All The Love You Got","MOTi","pop",7,0.135,165714
"178",2019,58,"Call You Mine - Asketa & Natan Chaim Remix","The Chainsmokers","pop",7,0.00407,183653
"179",2019,58,"Love Is Not Enough","GATTÜSO","pop",8,0.00205,202500
"180",2019,91,"Lose Control","MEDUZA","pop",10,0.129,168387
"181",2019,67,"I Wanna Dance","Jonas Blue","pop",0,0.0906,184582
"182",2019,42,"After The Landslide - Club Remix","Matt Simons","pop",6,0.0191,240000
"183",2019,70,"Midnight Hour with Boys Noize & Ty Dolla $ign","Skrillex","pop",0,0.00235,198839
"184",2017,64,"Pon de Replay","Ed Marquis","pop",6,0.123,257943
"185",2018,79,"So Close","NOTD","pop",10,0.121,190302
"186",2020,48,"Look Into My Eyes","Brando","pop",1,0.123,154654
"187",2019,53,"Not in Control","Glaceo","pop",0,0.203,179016
"188",2019,75,"BLUE","Tiësto","pop",11,0.018,167859
"189",2019,46,"Don't Waste My Time","Kharfi","pop",9,0.0528,154286
"190",2019,67,"Beat Of My Heart","Lost Frequencies","pop",6,0.127,183183
"191",2019,65,"Don't Start Now - Kungs Remix","Dua Lipa","pop",11,0.0352,216256
"192",2019,56,"Drunken Truth","Steve Void","pop",1,0.0814,158091
"193",2019,42,"Jacques","Jax Jones","pop",9,0.072,203227
"194",2019,58,"Something Real","Armin van Buuren","pop",1,0.0446,179531
"195",2019,74,"Stay (Don't Go Away) [feat. Raye]","David Guetta","pop",9,0.259,185943
"196",2019,65,"Solid Gold","PNAU","pop",5,0.0978,208367
"197",2019,64,"One Life","Mike Perry","pop",3,0.0997,204591
"198",2019,51,"All ‘Bout The Money","FAULHABER","pop",6,0.142,169964
"199",2018,63,"Never Letting Go","Audien","pop",1,0.0915,172520
"200",2019,83,"Used To Love (with Dean Lewis)","Martin Garrix","pop",4,0.458,236765
"201",2019,55,"Giulia","Prince Paris","pop",0,0.00395,153231
"202",2019,39,"What Do I Do? - Benny Benassi Remix","Georgia Ku","pop",10,0.429,167249
"203",2019,48,"Dreams Of You (feat. Rae Morris)","Icarus","pop",6,0.00108,291785
"204",2019,59,"I Will Let You Down (feat. KLARA)","Madison Mars","pop",0,0.199,182000
"205",2019,64,"Carillon (with Achille Lauro)","Nahaze","pop",9,0.062,242385
"206",2019,42,"La Vie - Gabry Ponte Mix","DJ Ross","pop",4,0.0804,177638
"207",2018,70,"Lullaby","R3HAB","pop",1,0.0267,160184
"208",2019,57,"Say It","Phantoms","pop",11,0.0209,204693
"209",2019,21,"All This Time","Deorro","pop",2,0.167,225160
"210",2019,68,"All You Need To Know (feat. Calle Lehmann)","Gryffin","pop",0,0.00699,238338
"211",2019,63,"Acordeão","Tiësto","pop",1,0.0457,131204
"212",2019,54,"My Friend","Yves V","pop",2,0.0316,170000
"213",2019,79,"On & On","Alok","pop",10,0.0233,147027
"214",2019,72,"Juliet & Romeo","Martin Solveig","pop",11,0.0416,204514
"215",2019,80,"All Around The World (La La La)","R3HAB","pop",9,0.479,147840
"216",2019,47,"Are You Lonely (feat. ISÁK)","Steve Aoki","pop",6,0.0214,157333
"217",2019,19,"No More (feat. Brenda Mullen) - Bottai Edit","Alex Gaudino","pop",4,0.00339,200640
"218",2019,79,"Close Your Eyes","Felix Jaehn","pop",11,0.0663,160794
"219",2019,59,"Buzzing (with Nevve)","Audien","pop",7,0.128,225000
"220",2019,68,"Never Be Alone (feat. Aloe Blacc)","David Guetta","pop",6,0.0202,178671
"221",2019,72,"Roses - Imanbek Remix","SAINt JHN","pop",8,0.0149,176219
"222",2019,66,"Insane","Ofenbach","pop",4,0.409,142230
"223",2020,59,"Daydreams - Sultan + Shepard Echoes Of Life Remix","ARTY","pop",1,0.0318,220205
"224",2019,64,"Only Want You - Sam Feldt Remix","Rita Ora","pop",9,0.232,179151
"225",2019,9,"Close To Me (with Diplo) (feat. Swae Lee) - Felix Cartal Remix","Ellie Goulding","pop",1,0.0145,223533
"226",2019,41,"Woke Up Late (feat. Hailee Steinfeld) - Sam Feldt Remix","Drax Project","pop",0,0.0717,196475
"227",2019,69,"South of the Border (feat. Camila Cabello & Cardi B) - Cheat Codes Remix","Ed Sheeran","pop",2,0.212,195924
"228",2019,66,"Not Ok - Frank Walker Remix","Kygo","pop",2,0.0337,183934
"229",2019,68,"Heaven (feat. Veronica)","Dzeko","pop",0,0.247,195000
"230",2019,66,"Sixteen - Don Diablo Remix","Ellie Goulding","pop",5,0.429,193548
"231",2019,63,"Don’t Give Up On Me Now (with Julie Bergan)","R3HAB","pop",4,0.091,127826
"232",2019,68,"Brave","Don Diablo","pop",6,0.169,184027
"233",2019,23,"Let It Be Me","Steve Aoki","pop",7,0.0797,224061
"234",2019,67,"Carry On - Nicky Romero Remix","Kygo","pop",9,0.175,175312
"235",2019,62,"Magnets (feat. Sophie Simmons)","Sam Feldt","pop",5,0.022,179016
"236",2019,9,"Don't Give Up On Me","Andy Grammer","pop",3,0.0511,190645
"237",2019,59,"Found Love (feat. Lovespeake)","MOTi","pop",8,0.00166,157024
"238",2019,71,"These Are The Times (feat. JRM)","Martin Garrix","pop",4,0.0536,188656
"239",2018,21,"Wherever You Go","Jonas Blue","pop",7,0.0835,208947
"240",2018,81,"Happy Now","Kygo","pop",9,0.374,211362
"241",2019,69,"Roots","Valerie Broussard","pop",7,0.0643,184564
"242",2019,56,"Talk - Alle Farben Remix","Khalid","pop",9,0.131,167990
"243",2019,56,"All The Lies - Toby Romeo Remix / Radio Edit","Alok","pop",6,0.00908,163000
"244",2019,60,"High Hopes - Don Diablo Remix","Panic! At The Disco","pop",5,0.0216,185714
"245",2019,40,"Summer Air (feat. Trevor Guthrie)","Hardwell","pop",4,0.0942,201905
"246",2019,57,"Can We Pretend (feat. Cash Cash) - Sigala Remix","P!nk","pop",1,0.0693,183360
"247",2019,70,"Bruises - Steve Void Remix","Lewis Capaldi","pop",9,0.241,212280
"248",2019,63,"Insomnia - King Arthur Remix","Daya","pop",4,0.0107,176098
"249",2019,65,"Don't Worry Bout Me - Rudimental Remix","Zara Larsson","pop",5,0.0427,193137
"250",2019,56,"I Miss Myself - R3HAB Remix","NOTD","pop",0,0.333,183341
"251",2018,2,"8 Letters - R3HAB Remix","Why Don't We","pop",1,0.24,132233
"252",2018,53,"You Deserve Better - Andrelli Remix","James Arthur","pop",6,0.334,196493
"253",2018,11,"Remember (with ZOHARA)","Gryffin","pop",11,0.102,221773
"254",2018,77,"REMEDY","Alesso","pop",0,0.269,190295
"255",2019,56,"Leave","Borgeous","pop",11,0.169,193640
"256",2019,65,"Mama (feat. Ellie Goulding) - Tiësto’s Big Room Remix","Clean Bandit","pop",1,0.0207,156168
"257",2019,34,"I'm Not Sorry","Hardwell","pop",4,0.117,186094
"258",2019,54,"Tequila - Robin Schulz Remix","Dan + Shay","pop",11,0.229,170103
"259",2018,51,"Happier - Frank Walker Remix","Marshmello","pop",5,0.116,196571
"260",2019,50,"Sing It With Me - Embody Remix","JP Cooper","pop",5,0.054,180571
"261",2018,52,"Thursday - Nicky Romero Remix","Jess Glynne","pop",11,0.532,217804
"262",2019,76,"Better When You're Gone","David Guetta","pop",1,0.0635,192402
"263",2019,75,"Wish You Well","Sigala","pop",5,0.128,205653
"264",2019,52,"Only When It Rains","Frank Walker","pop",11,0.219,169000
"265",2019,62,"Mad Love - Blinkie Remix","Mabel","pop",0,0.354,200893
"266",2018,65,"Sweet but Psycho - Morgan Page Dance Remix","Ava Max","pop",1,0.0334,226875
"267",2019,62,"Better Day (feat. Aloe Blacc)","Young Bombs","pop",9,0.073,191786
"268",2019,10,"Rescue Me (with BUNT.) - BUNT. Remix","OneRepublic","pop",11,0.143,174545
"269",2019,55,"Discovery","Syn Cole","pop",0,0.0368,198750
"270",2019,49,"With You - Frank Walker Remix","Tyler Shaw","pop",2,0.0386,206875
"271",2020,70,"2 Hearts (feat. Gia Koka)","Sam Feldt","pop",7,0.264,186750
"272",2019,61,"Love You Forever","Nicky Romero","pop",6,0.00236,234609
"273",2019,75,"Post Malone (feat. RANI)","Sam Feldt","pop",7,0.0771,174444
"274",2019,60,"Thorns","Faustix","pop",4,0.031,186000
"275",2018,63,"Shotgun (The Wild Remix)","George Ezra","pop",5,0.327,191650
"276",2018,73,"True Colors (feat. Maya Avedis)","XO Cupid","pop",0,0.0796,184020
"277",2018,60,"Crying In The Sun","Faustix","pop",11,0.214,195947
"278",2019,62,"Need You","Faustix","pop",7,0.045,182161
"279",2019,67,"Sweet Dreams (Are Made of This)","Winati","pop",9,0.399,176773
"280",2019,61,"Million Lights","Tungevaag & Raaban","pop",0,0.0191,186667
"281",2018,71,"Dancing in the Moonlight","Jubël","pop",11,0.27,164010
"282",2019,80,"Heaven","Avicii","pop",9,0.0715,277262
"283",2018,68,"Forever Young","John De Sohn","pop",8,0.179,167912
"284",2019,60,"eoh","Olympis","pop",5,0.145,155520
"285",2019,66,"Nobody","Martin Jensen","pop",6,0.269,211040
"286",2019,75,"All Day And Night","Jax Jones","pop",1,0.317,169467
"287",2018,58,"There's No Way (feat. Julia Michaels) - Alle Farben Remix","Lauv","pop",11,0.0229,187301
"288",2018,74,"Whenever (feat. Conor Maynard)","Kris Kross Amsterdam","pop",7,0.151,163636
"289",2018,68,"All For Love","Tungevaag & Raaban","pop",7,0.145,180485
"290",2019,72,"Bittersweet Symphony (feat. Emily Roberts)","GAMPER & DADONI","pop",9,0.221,194618
"291",2018,70,"One Touch","Jess Glynne","pop",0,0.329,197876
"292",2019,58,"fuck, i’m lonely (with Anne-Marie) - Ofenbach Remix","Lauv","pop",9,0.0106,178512
"293",2018,67,"Be Your Friend‬‬","Vigiland","pop",0,0.0688,180820
"294",2018,62,"Happier - Breathe Carolina Remix","Marshmello","pop",0,0.00828,158095
"295",2019,56,"Woke Up Late (feat. Hailee Steinfeld) - Sam Feldt Remix","Drax Project","pop",0,0.0717,196475
"296",2018,65,"Just Got Paid","Sigala","pop",6,0.0328,218480
"297",2019,51,"No One - Jonas Blue Remix","Jess Glynne","pop",11,0.0673,214641
"298",2019,54,"Speechless (feat. Erika Sirola) - MOTi Remix","Robin Schulz","pop",1,0.00959,181875
"299",2019,61,"Close To Me (with Diplo) (feat. Swae Lee) - Felix Cartal Remix","Ellie Goulding","pop",1,0.0145,223533
"300",2018,76,"Darkside","Alan Walker","pop",4,0.131,211680
"301",2019,83,"Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy)","Martin Garrix","pop",5,0.179,163805
"302",2017,63,"Body (feat. brando)","Loud Luxury","pop",1,0.0476,163216
"303",2019,70,"Who's Got Your Love","Cheat Codes","pop",11,0.00553,157000
"304",2019,70,"Never Go Back - Robin Schulz Remix","Dennis Lloyd","pop",9,0.338,184653
"305",2017,56,"Pumped Up","Klingande","pop",0,0.00719,177073
"306",2018,65,"California","Hot Shade","pop",7,0.017,169157
"307",2016,61,"Solo Dance","Martin Jensen","pop",9,0.0485,174933
"308",2017,60,"Replay","Davai","pop",6,0.415,202520
"309",2019,63,"Think About You - Galantis Remix","Kygo","pop",10,0.0976,181040
"310",2018,54,"Love No More","Loud Luxury","pop",0,0.0216,168636
"311",2018,70,"All Falls Down (feat. Juliander)","Alan Walker","pop",1,0.253,198880
"312",2018,6,"Lonely Together (feat. Rita Ora)","Avicii","pop",5,0.143,181960
"313",2017,70,"Remind Me to Forget","Kygo","pop",0,0.158,217293
"314",2018,54,"Next To Me","Axel Johansson","pop",8,0.158,179500
"315",2019,83,"Giant (with Rag'n'Bone Man)","Calvin Harris","pop",1,0.016,229184
"316",2018,53,"Happier - Tiësto’s AFTR:HRS Remix","Ed Sheeran","pop",0,0.00576,216000
"317",2017,55,"Hum With Me","John De Sohn","pop",10,0.109,167871
"318",2017,81,"Without You (feat. Sandro Cavazza)","Avicii","pop",2,0.00163,181673
"319",2016,58,"Call On Me - Ryan Riback Remix","Starley","pop",0,0.136,222000
"320",2019,75,"Sad (feat. Afrojack)","Chico Rose","pop",3,0.0421,161280
"321",2017,73,"Stargazing","Kygo","pop",5,0.152,236853
"322",2018,73,"Symphony (feat. Zara Larsson)","Clean Bandit","pop",0,0.239,212733
"323",2017,57,"Stay Young","Mike Perry","pop",5,0.0754,157005
"324",2017,25,"More Than You Know","Axwell /\ Ingrosso","pop",5,0.0323,203000
